name,Mig3Full_HOdMig3_D04,Mig3Full_HOdMig3_F10,Mig3Full_HOdMig3_C05,Mig3Full_HOdMig3_A04,Mig3Full_HOdMig3_H11,Mig3Full_HOdMig3_A02,Mig3Full_HOdMig3_A08,Mig3Full_HOdMig3_B02,Mig3Full_HOdMig3_B01,Mig3Full_HOdMig3_E07,Mig3Full_HOdMig3_E09,Mig3Full_HOdMig3_A10,Mig3Full_HOdMig3_D05,Mig3Full_HOdMig3_D11,Mig3Full_HOdMig3_D08,Mig3Full_HOdMig3_E02,Mig3Full_HOdMig3_C02,Mig3Full_HOdMig3_B06,Mig3Full_HOdMig3_D03,Mig3Full_HOdMig3_G02,Mig3Full_HOdMig3_G09,Mig3Full_HOdMig3_F12,Mig3Full_HOdMig3_A12,Mig3Full_HOdMig3_H08,Mig3Full_HOdMig3_TEF,Mig3Full_HOdMig3_H02,Mig3Full_HOdMig3_F01,Mig3Full_HOdMig3_E06,Mig3Full_HOdMig3_H05
DPM1,7.885072911661933,7.581621674783021,7.719615235503376,7.928966124745693,7.600339325844155,7.66193804679541,7.648732353267838,7.854730331285891,7.317917212454892,7.519959856433709,7.536074887495343,7.848606778252312,7.284626388728683,7.697156036829616,7.88549448088121,7.897457423227581,7.683840428264865,7.291836326727922,7.879483901284701,7.603192832175832,7.69696214570134,7.803954508438888,7.840511321189103,7.623532114860634,7.909961145956754,7.799445352475239,8.022185467899256,7.895897411279853,7.7875477000572815
GDB1,6.288705647668527,4.966911830667812,5.414270024811618,5.14655755981832,4.413638611651016,5.196274474446598,5.338392232655687,5.030980970977619,3.674061022680168,5.297567435097261,5.324024410380354,5.120686323689113,5.284626388728683,5.4117538179673685,4.213069138909715,3.727532421785269,4.338065591423135,5.841174917718357,5.179044183143608,4.7837650778176535,4.466664526279546,4.817893699396762,4.921129781397387,5.012097402778287,4.851067456903186,5.318318662738622,5.600721699460979,5.381324238450095,4.903740717561805
ATG13,4.481350725610923,4.288839925555175,4.606915102754013,3.9621329886808927,3.4876391930947928,3.803957051667838,4.279498543602119,4.910686737259907,3.674061022680168,4.297567435097261,5.117573532912928,3.1206863236891125,4.147122864978749,5.11219353610846,4.020424060967319,4.049460516672632,3.753103090701979,4.741639244167443,4.179044183143608,4.396741954708406,4.088152903025816,5.11745398125567,4.204922747397979,4.012097402778287,4.114101862736979,4.433795880158558,4.378329278124531,2.1589318171136465,3.0963857955042005
PZF1,4.481350725610923,4.703877424834018,4.092341929924255,3.3100562921012,3.625142716844728,3.1258851465552,3.016464137768325,3.709052876090256,2.6740610226801675,4.297567435097261,2.417133814771836,4.290611325131425,4.995119771533699,4.11219353610846,4.5349972337970765,4.727532421785269,2.753103090701979,3.934284322109839,3.6644710103138505,3.018230331454677,4.673115403746972,4.50977140403443,4.098007543481467,5.012097402778287,4.26610495618203,4.055284256904828,4.493806495544467,4.158931817113647,3.833351389670407
RPO26,8.015329297613274,7.865765107210913,7.992346139947534,8.057290221721232,8.04222804477243,8.18766134414189,7.792568125841489,7.89491942140159,8.243916631011116,8.267193786053742,8.268882856187894,7.902046037213772,8.14712286497875,7.8380185726694656,8.246492140447165,8.385743904537064,8.367812934817188,8.2562124169972,8.21466809287433,8.036152239451939,8.258077904468129,8.04226648486145,8.06290374252555,8.108958942030876,8.163345381756828,7.733356162017466,7.804594032826628,8.136211740613563,8.081278903113992
MLC2,5.419950180946779,5.5518743313889685,5.532914521310237,5.631984386988561,5.973066020265034,5.758153362054713,5.394975761022055,5.596578146831844,5.481415944737772,5.712604934376105,6.117573532912928,4.928041245746717,5.825194770091386,6.084179159938864,6.119959734518233,5.427972139926362,6.001030604145565,5.519246822830994,5.857116088256246,5.281264737288471,5.853687649388793,5.402856200117919,5.4419619446988285,6.268437156038072,6.073459878239634,5.733356162017466,5.837760896761828,5.703252333337457,5.970854913420341
SKI3,6.025671241834734,5.808214084648754,5.372449849116991,5.3100562921012,5.720299949885067,4.50439676980893,5.864461044323275,5.813389535904991,5.674061022680167,5.127642433654949,5.46152793413029,5.120686323689113,5.147122864978749,5.26973481309494,5.672500757547012,5.312494922506425,4.923028092144292,5.634724040250931,6.105043601699832,5.650498546954189,5.088152903025816,4.50977140403443,5.823832580042472,5.012097402778287,5.588033051069392,6.1256735847962265,6.0412942908469605,5.821896829836076,5.369404289910616
RPC82,4.703743146947371,5.5518743313889685,4.372449849116991,4.824629464930958,5.689273054264443,5.196274474446598,5.016464137768325,5.194479703260498,5.259023523401324,5.215105274905288,4.739061909659198,5.208149164939452,5.825194770091386,4.73368191285473,5.967956641073183,6.049460516672632,5.560458012759583,5.393715940747136,5.811312398643121,5.396741954708406,4.573579730196058,5.439382076143032,4.98253032606153,4.542612119477067,5.944176861294667,5.1256735847962265,5.880829618653714,5.328856818555959,5.903740717561805
QCR2,6.066313226332079,5.966911830667812,6.474811566746668,6.806482118220698,5.920598600370899,5.710847647276356,6.394975761022055,6.709052876090256,5.761523863930507,6.034533029263468,6.347871152334722,6.442614418576475,5.912657611341726,6.659681331410954,6.257463258268168,6.049460516672632,5.840565931952319,5.393715940747136,6.442078588977402,6.188155332896989,5.8955078250834205,6.439382076143032,6.204922747397979,6.365734357392987,5.988570980653121,6.09090816663555,6.285219873733049,6.000234071094589,5.46561960516992
AQY1,0.0,1.3819493299466563,1.2849870078666512,0.0,0.0,0.803957051667838,1.6945360428809626,0.0,0.0,0.0,0.417133814771836,1.1206863236891125,3.8251947700913855,0.0,1.2130691389097146,2.727532421785269,0.0,1.9342843221098387,1.8571160882562463,0.6963022365673142,0.0,0.0,0.3975678253403746,1.8421724013359744,0.9441768612946676,0.0,1.7933667774033746,1.5739693163924904,0.0
HPA2,0.8963882248897668,2.9669118306678124,2.2849870078666514,3.672626371485908,2.750673598928586,0.803957051667838,2.2794985436021187,3.5570497826452065,0.0,4.127642433654949,4.0020963154929925,2.1206863236891125,2.8251947700913864,3.2191087400249723,2.798031639630871,0.0,3.753103090701979,1.9342843221098387,2.8571160882562463,3.503657158624918,0.7662248081384537,3.439382076143032,0.3975678253403746,1.8421724013359744,1.9441768612946675,2.7333561620174662,3.600721699460979,0.5739693163924904,2.0963857955042005
OPT2,2.481350725610923,1.3819493299466563,1.2849870078666512,0.502701370043595,2.4876391930947928,0.803957051667838,1.6945360428809626,1.9720872819240505,0.0,0.0,3.739061909659199,1.1206863236891125,1.8251947700913864,1.996716318688524,2.798031639630871,0.0,0.0,0.0,0.8571160882562463,2.2812647372884705,0.0,2.439382076143032,3.204922747397979,1.8421724013359744,0.9441768612946676,3.0552842569048284,2.7933667774033744,3.3813242384500946,0.0
