,spearman,pval,FDR
FLO9,0.1409124058017989,0.3734068212911161,False
YAL064W,-0.104533252307498,0.5100133262262969,False
YAL065C,0.185192674878401,0.2403326103906759,False
YAL066W,0.0153687663157538,0.923043434695822,False
SEO1,-0.3388745831237001,0.0281426546125124,False
PAU8,0.0869459525160035,0.5840298229451495,False
YAL069W,-0.1662022300146523,0.292824322433497,False
NUP60,-0.3310104529616725,0.0322559498923471,False
SWD1,-0.2814196580504011,0.0710039542771151,False
RFA1,-0.2073575885260513,0.1876207522563543,False
SEN34,0.0530751154687626,0.738514586258374,False
YAR009C,-0.6821975528725387,6.512980667094823e-07,True
YAR010C,-0.3063771169273154,0.0484532106569336,False
BUD14,-0.0114253302001458,0.9427512755326964,False
ADE1,-0.5287253869216433,0.0003187667770534,True
KIN3,-0.263592901709748,0.0916609884222028,False
CDC15,0.2438214083137509,0.1196973366406564,False
PAU7,-0.2900089133781703,0.0624602688294483,False
YAR023C,-0.1237338951462604,0.4349821875733782,False
UIP3,0.1851551738108743,0.2404295257815374,False
YAR028W,0.1725143829511385,0.27461471485735,False
YAR029W,-0.0584231423709585,0.7132363679268976,False
YAR030C,0.2378636873778082,0.129297748611489,False
PRM9,-0.1371849931123896,0.3863058601370559,False
MST28,-0.0247143667449963,0.8765395792364866,False
YAT1,0.2473867595818815,0.1142148420930768,False
SWH1,0.0981281905842314,0.5364128929162895,False
YAR047C,0.2262253101858627,0.1496934274474994,False
FLO1,0.1146584555546552,0.4696573736048489,False
YAR053W,0.3784771336191186,0.013454763067967,False
YAR060C,-0.0872122846095676,0.5828740538925162,False
YAR061W,,,False
YAR062W,,,False
YAR064W,0.173112833097636,0.272927776631692,False
YAR066W,-0.0193269711144649,0.9033073990424024,False
YAR068W,-0.1172514382951138,0.4596030379883907,False
YAR069C,0.0420156990638601,0.7916319369445686,False
YAR070C,-0.2383659770784006,0.1284668099887751,False
PHO11,-0.5497933716878697,0.0001623182252183,True
IMD1,-0.1349161332144883,0.394283901375872,False
YAR075W,-0.1605218377765173,0.3098627957944339,False
ECM15,0.8087675228911758,9.203362838650448e-11,True
HTB2,-0.5969532452799611,3.007042786270217e-05,True
HTA2,-0.2368527671987683,0.1309822775550454,False
UTP20,-0.3877319504092051,0.011178370632125,False
PDR3,-0.1661939875212705,0.2928485987935768,False
LDB7,-0.1329713961591443,0.4011979204538195,False
