name,name,spearman,pval
PDR3,PDR3,0.31242377194970494,0.046732597438884534
LDB7,LDB7,0.21515679442508714,0.17670999460930595
SLA1,SLA1,0.35243902439024394,0.023822337840989936
HIR1,HIR1,0.10836236933797913,0.5000633870265402
ALK2,ALK2,-0.052264808362369346,0.7455363929964206
LAA2,LAA2,-0.12543554006968644,0.43454695542136357
SCT1,SCT1,-0.003832752613240419,0.9810259439787006
YBL012C,YBL012C,0.058798954694541404,0.7149845659298617
FMT1,FMT1,0.19755883023080859,0.2156717035694271
RRN6,RRN6,-0.03013937282229966,0.8516133105447516
ACH1,ACH1,0.48501742160278755,0.0013092789142783326
FUS3,FUS3,-0.4311846689895471,0.004884374078303471
PEP1,PEP1,-0.140418118466899,0.38121538292651136
POP8,POP8,0.4085365853658537,0.00800551004239898
APN2,APN2,-0.0702090592334495,0.6626962779127065
RFT1,RFT1,-0.0799651567944251,0.6191965534600608
HAP3,HAP3,0.4656794425087109,0.002153072824272222
PIM1,PIM1,0.3235191637630663,0.03908176388489724
MCM2,MCM2,0.11620209059233452,0.46937106961654496
NCL1,NCL1,-0.27473867595818824,0.08213856420259331
RRN10,RRN10,0.3099843225312465,0.04856731300857722
LSM2,LSM2,0.24564459930313592,0.12160344578776205
RPL19B,RPL19B,-0.12787456445993034,0.4255938524361851
YBL028C,YBL028C,-0.41480836236933805,0.007004803620299613
YBL029W,YBL029W,-0.16986802577200133,0.28833125713166635
PET9,PET9,0.7574912891986063,9.869398763645222e-09
SHE1,SHE1,0.6465156794425089,4.9611431074215975e-06
HEK2,HEK2,-0.604878048780488,2.802406213280555e-05
RIB1,RIB1,-0.01637630662020906,0.9190555877214441
STU1,STU1,-0.2212543554006969,0.16446643253362603
POL12,POL12,-0.3977351916376307,0.010018073726223526
YBL036C,YBL036C,0.3111498257839722,0.04768361570023398
APL3,APL3,0.32142857142857145,0.04043933114411187
MRPL16,MRPL16,0.5581881533101046,0.00014931029211911505
URA7,URA7,-0.10034843205574916,0.5324624544880514
ERD2,ERD2,0.17491289198606275,0.2740374378653027
PRE7,PRE7,0.26759581881533107,0.09074834075812763
FUI1,FUI1,-0.522822299651568,0.00045335567958377756
ECM13,ECM13,-0.20853658536585368,0.19072716503596632
YBL044W,YBL044W,0.043489390785598436,0.7871726006927772
COR1,COR1,0.8275261324041813,2.532412933341878e-11
PSY4,PSY4,-0.18379790940766555,0.2500130393667831
EDE1,EDE1,0.2663763066202091,0.092285546426518
RRT1,RRT1,-0.028164808923510896,0.861236664389034
MOH1,MOH1,-0.0717113592234241,0.6559216463870245
SEC17,SEC17,0.1294425087108014,0.41989337459352105
PIN4,PIN4,0.006097560975609757,0.96981818751724
SAS3,SAS3,-0.518466898954704,0.0005155291513741425
YBL053W,YBL053W,-0.20268964870263834,0.2037459567199446
TOD6,TOD6,-0.0829268292682927,0.6062322983458468
YBL055C,YBL055C,-0.15574912891986065,0.330856173925423
PTC3,PTC3,-0.33205574912891994,0.03391879821120381
