name,Med15_mnase_native_1,Med15_mnase_native_2,Med15_mnase_native_3,Gal4DBDGal11_dGal4_gal11_1,Gal4DBDGal11_dGal4_gal11_2,Gcn4DBDGal11_dGcn4_gal11_1,Gcn4DBDGal11_dGcn4_gal11_2,Gcn4DBDGal11_dGcn4_gal11_3,Gcn4DBDGal11_dGcn4_gal11_4,Mig3DBDGal11_dMig3_gal11_1,Mig3DBDGal11_dMig3_gal11_2,Rpn4DBDGal11_dRpn4_gal11_1,Rpn4DBDGal11_dRpn4_gal11_2,Yap1DBDGal11_dYap1_gal11_1,Yap1DBDGal11_dYap1_gal11_2
KTR1,4854.082347618389,4300.962484234634,4347.051610229105,755.5170776049972,684.1306541422908,658.6297417057633,390.574244454009,485.02981460947916,851.4464222177327,614.6752137515764,754.9424832800213,706.3970021986122,584.4218818680068,192.32007575446156,382.48015173465717
RAS1,5013.254153597203,4583.613373464302,5344.158253540159,1263.2834252161479,1163.938358453692,1004.582471887449,672.5237370309911,2164.849739206975,1434.175073212989,1341.1888384592248,1387.4120810449795,859.5143743784761,1111.8691528195288,351.5877402212516,312.17381134325313
OST2,174.205742789092,233.7726310692176,193.82957396259644,252.6566850432295,31.45779347172141,287.58635469719127,366.83112928963146,23.78955757370302,362.664961042365,133.18965370380295,278.85382848021004,174.90118083282945,302.32091768506825,115.76669495089992,347.34832529742255
PIN2,164.52764596747576,100.18827045823609,221.51951310011023,202.1253480345836,31.45779347172141,279.7072764863093,366.83112928963146,23.78955757370302,502.78551417236974,114.60505086141183,274.28245424282954,169.90400423760576,265.37058330133766,107.19138421379623,369.3323965187784
VAM3,1219.440199523644,292.21578883652194,0.0,353.7193590605213,165.15341572653742,193.03741616660784,513.5635810054841,999.1614180955271,461.57358678119186,151.77425654619404,335.9960064474662,0.0,446.76313391237863,660.2989267569848,584.7762944880658
RGS2,7161.791647996004,8390.767650877275,7587.043323678773,5811.10375599428,5678.131721645715,3135.8731279310164,3362.6186851549555,8409.608602304019,8786.382919799116,771.261017959231,1023.9878291732304,1244.2969722107011,1024.5319988216202,1372.0497179365916,1253.0920596172837
LEU9,1469.4349822115898,2963.315041722476,1064.6976597945436,1992.7851214677262,806.3828749089151,1328.346002595169,1241.7147615860297,3940.35488826405,1787.7850192229264,305.3807978796661,748.1601216670609,344.875567839382,549.7604168232384,169.09063425274897,346.7909826467403
INP53,516.4544940683097,26.20769406605578,1521.0841006033352,0.0,345.6125291736208,234.9590587549999,287.8719624470202,597.4059301019594,2095.709670923573,165.28906862814216,452.012564727533,235.29306838497237,179.25355856762894,67.29503941673305,427.8514309447731
TFC7,0.0,85.94582024603586,142.52174556073268,0.0,161.91511345738962,40.55407902659829,377.62028015109126,0.0,0.0,318.8534801390631,70.5873963124929,154.3245713230848,138.31675972519463,0.0,0.0
YOR111W,0.0,320.2364809167364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.34038170774494,191.67252694008707,0.0,534.4885459427647,0.0
