name,Gcn4_PIP2_12,Msn2_HCM1_DPN_6,Msn2_PIP2_12,Msn2_RDS1_12,Msn2_RPN4_DPN_8,Msn2_RPN4_DPN_9,Msn2_SEF1_12,Msn2_SUM1_DPN_9,Msn2_YKL222C_12,Msn2_noAD,Msn2_Gal4AD,Msn2_Gcn4AD,Gcn4_Gal4AD,Gcn4_Gcn4AD
FCF1,282.8837734607445,311.48014455529494,332.0754166496518,306.8838755018557,329.1742476125539,417.5094800679752,396.7404398826818,458.457058677584,461.80541747543873,301.4396500926909,279.80458874844703,462.4759196348636,446.6386548438779,606.597256048126
YDR340W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YDR341C,5448.091106704753,740.5924710749122,460.8395652555811,485.417652135445,437.21571249842225,732.8669338744751,553.9939122891524,756.3417736840065,557.7268889474411,629.9905882227481,501.5152334483162,824.6215468120942,4957.873857714062,3399.3101557074424
HXT7,2584.068796801018,3881.8494151622313,13753.956472822974,9042.235903227533,6035.450711661657,5658.729497440923,8269.136677550207,4070.8601185058187,8154.049581345154,850.4020688080316,4716.692350304866,4384.766991641079,703.9983247861843,524.0418743088235
HXT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HXT3,408.9575227884263,1435.2377221451839,1699.770087150977,1458.4807559027158,1710.5234394278443,1782.7106436675456,1899.538617529206,2057.3030255316244,3648.629106051585,895.9866052929278,1409.049746991944,1742.2107785510543,398.14265154047513,399.69240227797656
SVF1,1162.403265821576,2778.269802179668,2765.4029464546206,2543.4042347318245,2596.8166562843717,3572.6049326829584,3129.318156788134,2495.504056933858,2566.4496124392526,1666.7142481030405,2015.8355173216453,3057.843852002175,1276.9501501847033,1989.7932737273277
MRP1,1162.403265821576,2778.269802179668,2765.4029464546206,2543.4042347318245,2596.8166562843717,3572.6049326829584,3129.318156788134,2495.504056933858,2566.4496124392526,1666.7142481030405,2015.8355173216453,3057.843852002175,1276.9501501847033,1989.7932737273277
PAL1,2040.5140215722631,913.5442907671672,789.4299050896382,807.3268968426162,757.3754748766955,899.6535640822168,891.0816337782185,686.1429822105033,787.2990149131056,689.390552288963,494.7996398546668,707.7277686042767,1509.554022213861,1991.8230554061895
YPS7,1407.204096118301,192.90553801188037,241.80483611035004,306.51924954421975,311.17267323359476,285.4769027511117,355.6199448638806,353.63583108397336,327.8693781106906,151.72389695193382,136.82989869117563,250.18244658427014,1171.332225767863,1793.2345501049276
ATP22,1004.7735881044136,2831.4747375522074,1659.0380612165213,2246.3893613201444,2650.9017659978,2661.8382536419076,2258.569941604803,1756.801380360353,1899.385436677479,2612.3612721318423,2595.8889670888684,3440.7153467126823,934.056293885973,1335.8946771304313
SBE2,1004.7735881044136,2831.4747375522074,1659.0380612165213,2246.3893613201444,2650.9017659978,2661.8382536419076,2258.569941604803,1756.801380360353,1899.385436677479,2612.3612721318423,2595.8889670888684,3440.7153467126823,934.056293885973,1335.8946771304313
YPQ2,2608.232811318905,687.9322979616402,436.6264502438994,810.3957781564347,972.3493667145681,756.9839950538928,866.8212096685418,755.1862706903551,698.5154036498228,463.1474959791334,413.84887958104173,847.027986201752,1716.1622528761088,2257.420754956421
TRR1,3607.366042220425,3875.142772199729,4572.781525135659,4960.362817592021,3474.4337700287724,4375.746939748988,4478.719768948706,4161.393385129297,4138.80933406519,2493.2655982736637,3578.5142268230506,4062.6296366152437,2023.4040585170762,2100.211523878293
TRP4,17645.782131019216,1413.5380788960133,1543.3992476551416,1563.0281624279628,1480.055129566615,1600.3789411781024,1342.958675633367,1160.1071656753027,1883.892957845971,1575.9056391244453,1262.9168006912662,1446.0878899410209,9929.190929762523,7919.581213552751
SPC110,1218.2252772180852,760.2137730821355,917.0505370827426,1036.2089801231502,1254.5971415176834,1280.5541509282216,1182.0556264926927,1113.367678827768,697.636250954763,1113.3625426873145,1536.2900957824288,2080.223468174426,1597.3639342654726,1613.6793784142408
CNL1,894.6066572432038,3445.721976624827,4513.71445196234,4041.783123803299,4109.817138993322,3686.1146413154506,4443.808158269005,3510.002101669707,4739.067684516443,2038.219534043175,2940.9522963931063,3300.6448550103723,423.9607421735381,557.2770541150718
GGA1,894.6066572432038,3445.721976624827,4513.71445196234,4041.783123803299,4109.817138993322,3686.1146413154506,4443.808158269005,3510.002101669707,4739.067684516443,2038.219534043175,2940.9522963931063,3300.6448550103723,423.9607421735381,557.2770541150718
EAF1,0.0,0.0,369.52211183365,0.0,144.44183486196127,288.3098431286923,0.0,0.0,406.7258166564501,0.0,0.0,0.0,0.0,33.57093546577067
BCP1,789.1509230082544,1274.877326119653,868.0569172361527,751.3946060350665,1411.2310838361482,1133.9893713270196,1352.5343689951626,1154.2301790680472,1179.6166201489807,637.8782454435656,766.8658928837343,1134.9285484645286,725.3965580661189,1060.064565909594
TFC6,972.5242512653849,2192.6965971975524,2256.31330775967,2594.5834336303933,2190.5673603885634,2483.5366284656247,2217.7883718137828,2032.4401250886103,2332.723539220983,2833.639483601971,2883.6000756589965,2561.68598508609,923.5213096532152,1491.4755068233844
ESC2,972.5242512653849,2192.6965971975524,2256.31330775967,2594.5834336303933,2190.5673603885634,2483.5366284656247,2217.7883718137828,2032.4401250886103,2332.723539220983,2833.639483601971,2883.6000756589965,2561.68598508609,923.5213096532152,1491.4755068233844
CDC40,1240.7813937253377,1312.0002271120845,1212.782255152125,1914.2316077653852,902.3072513156374,1152.4692030002284,1447.0112803499258,1237.3734970877222,887.4509647141192,2079.3266818808975,1429.1778758997345,1589.6264014827227,1078.6472682145916,1409.5286822811813
ESF1,1293.6155185824239,769.6899535268578,1194.9709074166321,1061.4068898520552,983.6104531853211,1134.0839654306742,977.8938898929568,1035.180204149669,1241.2946216605883,523.1015259490895,787.2917781195359,991.004394117751,1407.9920551995372,1403.4532483402545
YDR366C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEI1,1057.8517424212178,976.5152854467817,724.406250261948,789.4525067777023,916.7948707694425,794.3513214086428,740.7600228980816,487.50029189857037,771.0867070335858,900.5282978838707,1000.7379742973421,1102.257474547695,1371.7463641718898,1440.255620346966
YPR1,3810.2760070957133,2101.989292861328,2055.0184985803576,1829.885696612846,2235.1339502690275,2201.1350381258535,2527.7048099228687,1974.2303783341824,1898.5141161413694,2797.942337160511,2690.2035544942346,3100.6849725633215,3181.104693405649,3956.3100594459906
XRS2,1608.9423570165309,1986.2464123013947,888.7849775949819,1336.0077496155773,1565.6516855439609,1280.764782690227,1137.6676773248064,961.0882503928071,868.1847010003427,3334.9677572949104,2476.795102853888,1993.6475322889364,1907.9091790587547,2161.997713448963
DXO1,1680.3980262385262,700.1447806458348,503.658129269664,504.2009912100067,496.62371361523833,630.6410458020256,668.9167979611962,460.5188156340477,547.2901581780447,615.1934998307735,445.69357350209066,606.9338077650813,1130.6042959152476,1601.9118961767144
CTS2,1680.3980262385262,700.1447806458348,503.658129269664,504.2009912100067,496.62371361523833,630.6410458020256,668.9167979611962,460.5188156340477,547.2901581780447,615.1934998307735,445.69357350209066,606.9338077650813,1130.6042959152476,1601.9118961767144
VPS74,2245.8240240370433,1742.3603881907845,1188.586259762571,1309.2943944086314,1157.3895940730372,1392.7296331065745,1594.3001282125579,1320.6842900892875,1690.3005371692384,308.2804976711181,772.8679169985799,1380.0631501452506,802.8941709497805,1729.6440677969301
FRQ1,2245.8240240370433,1742.3603881907845,1188.586259762571,1309.2943944086314,1157.3895940730372,1392.7296331065745,1594.3001282125579,1320.6842900892875,1690.3005371692384,308.2804976711181,772.8679169985799,1380.0631501452506,802.8941709497805,1729.6440677969301
BCS1,1677.121420884102,1440.9586187808393,1154.936895416319,1076.4321791666853,1146.1277553727846,1363.0814781387755,1541.204557295057,1122.855579666844,981.5335058104963,907.8273008571982,850.8872732242189,1353.0031752086654,1851.7491743801318,1650.908927097939
ARH1,1677.121420884102,1440.9586187808393,1154.936895416319,1076.4321791666853,1146.1277553727846,1363.0814781387755,1541.204557295057,1122.855579666844,981.5335058104963,907.8273008571982,850.8872732242189,1353.0031752086654,1851.7491743801318,1650.908927097939
ATP17,1587.500683413508,3035.8312053636064,2765.3426248773585,2108.5498735177384,2800.814386746087,3314.429453759043,3201.426083258301,2634.450243484257,3183.847647035519,2100.3590639152544,3323.3396023482414,4583.399246535534,663.4481999761491,1266.192891011511
LSM6,1887.8444255017816,1379.9120775102897,1669.412453950568,1949.3250459890046,1738.0408025368206,1677.6262671455838,1651.999110176207,1577.9237661847424,1992.307776559221,666.8817124638506,656.7394290655799,888.527799751268,700.0918791702649,1102.1167161813307
RGA2,1887.8444255017816,1379.9120775102897,1669.412453950568,1949.3250459890046,1738.0408025368206,1677.6262671455838,1651.999110176207,1577.9237661847424,1992.307776559221,666.8817124638506,656.7394290655799,888.527799751268,700.0918791702649,1102.1167161813307
YRA1,381.29106760363095,2691.665538707231,4031.1594593971804,3055.9277449383053,3021.925869955967,3588.7106486296943,3198.338609128132,2540.773342045178,3211.0135816908937,1025.6967537542148,1693.104719886877,2343.7900741321646,708.4752925603635,935.7597179057653
RPP2B,358.7246301053549,1245.4868180085318,1072.2987676103903,918.9367172935999,1205.7386239862933,1152.7874403493342,1128.73574963245,1208.4796748744889,1588.1408625832184,1166.3765845931352,817.365623537029,1028.763516486535,465.25455101760434,458.81417103949167
NKP1,2750.004088849028,1399.741824280638,1764.3216465714816,2080.845748310121,1587.8180472944805,1168.753133121631,1259.7454475589147,1237.3110305638263,1136.499451013506,1062.8231092819399,1188.2495540107655,1243.7079422106467,2845.039614385179,2237.1962031610565
ATO3,2673.202180457226,2038.8364700225698,3270.3807188944857,2467.2087096138775,2454.055956489393,2491.8955727210714,3067.4507371356513,2284.1541213802975,3778.410806555218,561.2669982678486,1299.3664754513318,2235.832469518595,1143.3319545722654,977.6691428109276
EFT2,940.6725744214656,2734.510962137728,4127.244343809036,3160.6704505354655,3316.4792390803545,3786.282661727039,3916.6874117830894,3861.217663318598,5122.628698953951,744.1939437819085,1744.1503071237187,3164.052017665119,577.379088559962,771.1695089217584
RVS167,1393.2252973526174,2602.0757178796175,3274.249938194087,4914.181693270573,2567.125195612817,2360.3209479610323,3275.666490536457,3769.5502015102384,3147.7963174084543,2566.3954997276287,2629.0116670521024,2964.2598006307394,803.8080660703225,1157.5507529513218
SAC7,1767.982613245965,2495.165973431199,2945.202118218847,2989.776633924427,2876.670965876713,2956.045746014731,2744.2613410218123,3011.56350860952,4021.803775107848,595.9963860096946,2291.277895943339,2126.9807390003816,797.4579391071114,794.2443679210446
UBA2,661.8664757354823,470.62771898037283,516.7577831780428,404.5384875572198,505.803409581129,679.012571946521,599.9797837858769,334.50540701354146,547.7027337944739,650.6815091221122,528.7851925197102,575.2869499164775,867.1301827708052,870.4643852772106
YDR391C,742.1395047312368,1910.0239979204307,1926.2416843114288,2630.6279522322448,1851.9328900690598,1508.1109338854842,1811.894452391411,2313.2925185586582,1663.8890416101244,2652.9180800761515,2053.6208529340784,1685.5420935654274,462.6824419544708,706.4795472820537
SPT3,742.1395047312368,1910.0239979204307,1926.2416843114288,2630.6279522322448,1851.9328900690598,1508.1109338854842,1811.894452391411,2313.2925185586582,1663.8890416101244,2652.9180800761515,2053.6208529340784,1685.5420935654274,462.6824419544708,706.4795472820537
SHE9,101.63612675291103,236.92575389490744,59.6348520524067,94.17741917169184,132.40501529013116,178.28177526268036,87.21775437485002,0.0,46.627294579124055,216.14912077807148,82.98622054837925,181.14960530851022,45.62826206240112,157.68291807876355
RPT3,1056.9548709266278,1382.7092399398316,1465.649715269053,1159.704711821238,1579.3116135680584,1436.4149941097926,1560.4436812343415,1153.7250005252247,1306.9183881019053,1317.8277262287093,1111.0585617440372,2583.142818087136,1006.0258968655994,1964.1456214013517
