name,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_3,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_2,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_1,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_3,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_2,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_1,Gcn4_PIP2_12_27271508_2,Gcn4_PIP2_12_27271508_1
BMS1,990.813487052872,1691.2251584910316,1266.7538667482922,749.5394280983825,1199.264432873332,898.8834979745471,934.1873778139907,485.982595713578
SAR1,949.1224527521595,1246.320979166736,1020.6924045579188,479.8733998802946,671.0170041076976,809.7168624593303,832.6344230142325,627.5049999598396
RPL1A,1216.4179024761274,1468.8227270079885,1477.9346786075582,989.5604809164039,1013.3110713716242,1026.100354401089,1151.1147838981383,513.2849887311947
FLC1,660.6794662621144,789.3926849603077,697.9013512171765,540.786122465719,766.1003852565617,525.2217486222684,881.3950749179572,951.165473623336
FMP40,493.5436754311229,517.5199494444732,492.5189535732645,452.93596869373687,333.5913106135411,399.91884573667005,470.43007239918825,689.8969256701323
MMT2,622.4166887821143,581.274530749918,672.353042873579,453.03952058415615,437.4036767516844,284.49511383706204,459.24472088352394,483.411259228321
YPL225W,1876.527350886506,1748.9114540247886,1665.2019667264217,1139.0500842335086,1223.9350154924405,951.3516606711354,1687.9727931123464,2053.5310292019076
NEW1,308.9645928092904,566.5670204634173,363.53428107542317,211.12882863387657,327.23568967443885,241.625987094491,426.03636693685996,387.3912145870791
ALG5,308.9645928092904,566.5670204634173,363.53428107542317,211.12882863387657,327.23568967443885,241.625987094491,426.03636693685996,387.3912145870791
CET1,1664.6973998695487,2270.1019940222186,1948.1444411754437,1251.5335977063783,1265.7499698536778,994.2355557253114,3581.8710775657482,4579.685613741988
YPL229W,1534.244538319799,1455.8165283714009,1426.0108376722228,1464.7116192424678,1620.764148383208,1561.0757528495196,2517.4486780336424,1980.1268887621604
FAS2,811.559822121444,1326.9403182709907,995.0545694234495,605.129556853801,1022.7869210243233,656.1614324709954,1335.1419882081568,1454.2734260907705
SSO1,566.3243095960811,666.2871520370741,549.8805987685444,360.6712343301979,430.2177592050496,377.9720798120967,789.277121469749,689.8969256701324
NSL1,819.0008261651698,1100.7393263295958,792.1460617982109,555.1476586850467,714.8911928378164,593.6099971407928,609.8167605174662,460.1703333038825
VMA11,819.0008261651698,1100.7393263295958,792.1460617982109,555.1476586850467,714.8911928378164,593.6099971407928,609.8167605174662,460.1703333038825
RVB2,1362.8507166523998,1484.8547791352387,1239.608039334716,1237.2959974739224,1003.3636459327666,1161.812506769154,1963.5461137080717,1845.0618218714449
ENV7,1362.8507166523998,1484.8547791352387,1239.608039334716,1237.2959974739224,1003.3636459327666,1161.812506769154,1963.5461137080717,1845.0618218714449
SUI3,706.6869611999291,717.8356660053308,748.8096540270517,531.7204658937718,402.6102024646187,452.86977304675173,1008.0644408554033,199.7771020280306
YPL238C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAR1,350.2568019188614,484.28472333336026,433.17932061263025,272.60035152863793,257.6705295773559,312.1317820383766,674.2831037721697,652.6051999582332
HSP82,345.7080122835515,508.0241705555839,435.1573083779848,274.69727730962745,266.8730484908329,317.0088411327263,674.2831037721697,689.8969256701323
CIN2,4144.259870032331,4896.487511026566,3709.859495783167,4829.332123088084,7007.261539078858,5876.670061397632,7261.940048910283,10860.147602358385
