name,dGal4_med15mnase,dMig3_med15mnase,dMsn2_med15mnase
RFA2,424.9065492046883,317.4245716847506,380.3538852779111
EMW1,424.9065492046883,317.4245716847506,380.3538852779111
DAL82,227.10200195921274,21.525999971493423,70.26795043312161
ATP11,227.10200195921274,21.525999971493423,70.26795043312161
PHA2,105.08752652029239,73.67529752148049,119.36040124940749
PFS2,37.57233907583614,16.503266644811625,69.63483010987377
HXT14,0.0,0.0,0.0
YNL319W,0.0,0.0,0.0
YNL320W,283.01949116008956,105.33999986049974,651.6423682263255
VNX1,931.518489009437,948.105508305392,1007.4976461289302
KRE1,931.518489009437,948.105508305392,1007.4976461289302
LEM3,221.29098014852408,74.84150199871532,87.23055145141407
YNL324W,0.0,0.0,0.0
FIG4,221.29098014852408,74.84150199871532,87.23055145141407
PFA3,410.31388517613243,32.49787096152974,182.00376325892526
EGT2,5651.125080115284,4732.760874034314,6922.932481044763
MDJ2,5651.125080115284,4732.760874034314,6922.932481044763
PEX6,0.0,0.0,0.0
RPD3,169.92580375849508,116.51873509280529,292.2556120392197
AAD14,6.266971518422918,161.44499978620073,270.81758803100536
THI12,0.0,0.0,0.0
SNZ2,0.0,0.0,0.0
SNO2,0.0,0.0,0.0
DDI3,0.0,0.0,0.0
COS1,0.0,0.0,0.0
YNL337W,0.0,0.0,0.0
YNL338W,0.0,0.0,0.0
YRF1-6,0.0,0.0,0.0
CIT1,3062.3465590937417,4633.601650223523,3362.498052297514
ATO2,1538.7346518716733,1539.9335610343119,1110.1413590695715
RPC34,304.44689819838516,128.77893535422515,282.518992671744
SWM2,304.44689819838516,128.77893535422515,282.518992671744
YNR005C,0.0,0.0,0.0
VPS27,442.39110436134536,505.84858405706257,852.8920694649795
ATG3,177.54547876467004,291.52377870140924,526.025995769574
LRO1,177.54547876467004,291.52377870140924,526.025995769574
NRM1,0.0,791.0062003933716,168.96107438079727
CSE2,216.21051738559066,586.8676684001138,508.3410233752798
PRP2,155.50795516564096,159.49994850781894,249.23537181503758
URK1,155.50795516564096,159.49994850781894,249.23537181503758
PHO91,7303.715531544358,8526.70489799411,4867.930883851894
YNR014W,7303.715531544358,8526.70489799411,4867.930883851894
SMM1,635.2638120494174,397.9122409433742,376.4667002569947
ACC1,3326.1077641189468,3927.4580146254084,3915.6320503498428
TIM23,3326.1077641189468,3927.4580146254084,3915.6320503498428
RCF2,6213.066087667001,8314.639548854559,9564.846529224615
ARE2,2990.2357618181977,2187.58898213225,2893.3562994504914
ATP23,453.67041115331034,402.9310978634792,522.1891262069227
YNR021W,453.67041115331034,402.9310978634792,522.1891262069227
MRPL50,208.46758307760228,255.28490591192985,222.60131766473802
SNF12,208.46758307760228,255.28490591192985,222.60131766473802
MPP6,309.6162705652566,20.40239008287152,140.69868896955867
YNR025C,0.0,0.0,0.0
SEC12,110.99915190098285,109.84190956617631,134.9562720988112
BUD17,110.99915190098285,109.84190956617631,134.9562720988112
CPR8,112.21644626848052,67.06158260951466,135.9501769980891
YNR029C,350.3302414213225,147.62096310725997,213.71589817721502
ALG12,350.3302414213225,147.62096310725997,213.71589817721502
SSK2,665.4229093027311,515.5971933917676,1255.2215393889805
PPG1,665.4229093027311,515.5971933917676,1255.2215393889805
ABZ1,356.02026972349233,209.36980071775943,352.17647941621414
SOL1,1267.7382147905623,1295.9957834152542,685.4447124273187
ARC35,1017.9219926116086,1677.7786867538864,763.785329324084
MRPS12,1369.4190488627783,507.45118760298726,545.7696735785153
RSM19,612.9202702769533,446.5183061777532,462.9667156283881
