name,Native_med15mnase,Gal4Full_nodeletion_erv_2_reps_0.96_meancorr,Gal4Full_dGal4_deletions_tef_3_reps_0.99_meancorr,Gal4DBD_Gal4AD_dGal4_deletions_tef_3_reps_0.95_meancorr,Gal4DBD_Gcn4AD_dGal4_deletions_tef_3_reps_0.97_meancorr,Gal4DBDGal11_dGal4_gal11_2_reps_0.95_meancorr,Yap1_lab_data,Yap1Full_dYap1_deletions_tef_3_reps_0.99_meancorr,Yap1DBD_Gal4AD_dYap1_deletions_tef_3_reps_0.82_meancorr,Yap1DBD_Gcn4AD_dYap1_deletions_tef_2_reps_0.97_meancorr,Yap1DBDGal11_dYap1_gal11_2_reps_0.98_meancorr,Gcn4_lown_lab_data,Gcn4Full_dGcn4_deletions_tef_3_reps_0.98_meancorr,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_3_reps_0.97_meancorr,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_3_reps_0.97_meancorr,Gcn4DBDGal11_dGcn4_gal11_4_reps_0.93_meancorr,Mig3_lab_data,Mig3Full_dMig3_deletions_tef_2_reps_0.99_meancorr,Mig3DBD_Gal4AD_dMig3_deletions_tef_3_reps_0.94_meancorr,Mig3DBD_Gcn4AD_dMig3_deletions_tef_3_reps_0.97_meancorr,Mig3DBDGal11_dMig3_gal11_2_reps_0.98_meancorr,Rpn4_lab_data,Rpn4Full_dRpn4_deletions_tef_3_reps_0.95_meancorr,Rpn4DBD_Gal4AD_dRpn4_deletions_tef_2_reps_0.93_meancorr,Rpn4DBD_Gcn4AD_dRpn4_deletions_tef_3_reps_0.89_meancorr,Rpn4DBDGal11_dRpn4_gal11_2_reps_0.99_meancorr,Med15_Gcn4DBD_Mnase,Med15_Msn2DBD_Mnase,Med15_Msn2DBD_Mnased11TFs,Med15_dDBD_Mnase,Gal11_ddmsn,Msn2_dgal11,Msn2_d11,Msn2DBDonly_d11,Gal11_MNase_d12,Msn2_lab_data
RPL28,328.1712576786968,966.2673491006445,1148.8770434474209,784.1971691865247,1029.9636137643768,176.85967953026068,417.7189813546185,553.2475584426157,993.3926728892161,929.899016323487,155.5563409007791,297.02619897469094,869.5413844388239,654.5485184570315,923.9347788938067,390.42485183055084,936.3922300091004,657.8123436972228,514.2208502919802,918.6918288050016,229.07095072045976,898.0881193767342,855.6019638772182,1161.6536003860208,1665.3958671188366,330.29237367305166,523.9183507499598,436.32330441883136,785.7090401697998,62.6359331017811,603.2735382911537,961.8735092391538,1172.3193235875192,4936.59729516228,196.88841780310975,977.3542298878776
VPS73,290.3003136594732,959.1657892193448,1106.8723696426637,782.399830601138,1051.2805048000903,0.0,442.16882238447806,538.799565813962,994.2867887478078,977.4485639636862,138.4057194265717,312.71835121046166,901.8336025383843,704.3539728333852,959.636766831065,365.56182148814514,912.8463051831864,600.0481941974067,553.2915250770848,926.3067908209091,240.31784238937536,891.1222022041998,896.9948302428465,1095.9267357566036,1737.422626824976,339.5092045858873,515.8434349107702,423.9562009861749,800.1605718994107,62.6359331017811,176.10952465997605,1029.9502685457478,1201.853838093357,5510.649518921628,187.81127265588202,1041.5466124119164
ARC1,683.5650289927202,797.0689666575349,1056.156851108173,1096.7786349593473,1458.7075124505084,0.0,728.5661238840559,984.7155507146396,581.3633295164462,1196.3832463393978,50.87165944425519,930.1631839110056,1859.0936823463874,1227.394151495092,1698.6490653630656,181.1047287505538,1261.6815889064526,1083.052577916744,659.4372832011916,1570.2985539170038,173.20686380806183,1511.1682285201691,1446.1436636215678,862.9404698595711,2265.5684211707708,334.53682572514356,611.2308139584405,396.7483838089702,653.8349213463545,485.01633854958027,856.0879670971057,472.58477774276514,731.2197891590009,333.86743760073887,489.2380295582657,718.8605666589348
MLC1,516.9226810121521,882.3962052457147,1052.5409042499246,1093.427176890442,1317.1343892699056,0.0,486.8948495563098,1041.3094401132157,671.5363213074711,1230.553415911386,60.819375011834666,681.92102161859,1252.6882829107474,958.937135912122,1307.4844089842416,29.3334605571141,957.166615231047,1455.2303866535622,2274.630877287977,2035.642968931775,115.82629225634788,730.3931058782016,1308.445034365016,1408.730463349667,1901.2783355397596,344.89924131501823,155.66742492146878,211.4503504862354,440.00689609279414,136.11063321155453,62.13541696672542,442.583139419168,442.7780240043895,357.350584861399,223.44636524462305,362.47541548266133
RMD9,516.9226810121521,882.3962052457147,1052.5409042499246,1093.427176890442,1317.1343892699056,0.0,486.8948495563098,1041.3094401132157,671.5363213074711,1230.553415911386,60.819375011834666,681.92102161859,1252.6882829107474,958.937135912122,1307.4844089842416,29.3334605571141,957.166615231047,1455.2303866535622,2274.630877287977,2035.642968931775,115.82629225634788,730.3931058782016,1308.445034365016,1408.730463349667,1901.2783355397596,344.89924131501823,155.66742492146878,211.4503504862354,440.00689609279414,136.11063321155453,62.13541696672542,442.583139419168,442.7780240043895,357.350584861399,223.44636524462305,362.47541548266133
YGL108C,114.35373095138432,985.2445082871649,1184.8570758339426,2194.707645000231,1978.0357691448087,0.0,655.1939721315158,2600.214686791524,1560.6894190403452,2321.842179542567,189.30590593736005,230.5787569151124,897.8876715987682,1344.9951565202718,1720.7632225518055,52.92723904810143,514.6620430673612,1280.2846129878944,1294.3184242057982,2475.563574951096,87.93221920957842,1665.4350746924815,1717.5272704576892,3200.599106874787,3923.7794362254117,10.404358032426144,0.0,0.0,98.36068144590453,0.0,0.0,282.16127842275444,300.76556580128056,1004.9283569410652,76.97156471286992,273.04227258260573
CUE3,0.0,124.2772979227464,148.8360273576534,561.1361835304209,210.9588617599496,0.0,601.7631506138576,32.43481482593532,0.0,365.8404895974061,0.0,18.744891749214176,56.469719645589585,299.37966218488464,463.8429113662242,0.0,568.2908657518889,544.4183233900551,604.263437841023,331.4521291466368,0.0,159.76231491867912,0.0,0.0,246.33230768696936,0.0,0.0,188.88205675506455,0.0,0.0,0.0,119.04779995710535,0.0,76.06315532862642,0.0,29.5905166042755
NSA1,45.8377707978858,1015.5456651666933,2558.21810632585,3816.683318209878,2609.7949611525546,0.0,237.0811940103906,722.8537682439295,1065.1920162246022,1755.6218364613178,89.8484296202577,351.30132419409625,2608.7162881730596,3805.3564262233363,2970.41104476321,157.47445201086197,337.1838992425891,649.5932669203894,423.5647908951591,1115.413202558041,83.64943864306777,419.47137471123546,1036.0700812324492,1386.4256279787699,1488.6068637759229,89.9058938213765,378.32906295442194,26.516985857781165,121.58136260139698,254.49473568172436,0.0,71.85516952952052,220.30207476476903,178.31769108801004,95.20420958063988,87.5071878155718
TAF6,45.8377707978858,1015.5456651666933,2558.21810632585,3816.683318209878,2609.7949611525546,0.0,237.0811940103906,722.8537682439295,1065.1920162246022,1755.6218364613178,89.8484296202577,351.30132419409625,2608.7162881730596,3805.3564262233363,2970.41104476321,157.47445201086197,337.1838992425891,649.5932669203894,423.5647908951591,1115.413202558041,83.64943864306777,419.47137471123546,1036.0700812324492,1386.4256279787699,1488.6068637759229,89.9058938213765,378.32906295442194,26.516985857781165,121.58136260139698,254.49473568172436,0.0,71.85516952952052,220.30207476476903,178.31769108801004,95.20420958063988,87.5071878155718
SLD3,19.28817088029848,1547.3401215823917,1854.617410327678,3604.7995836077953,2721.645035414235,1179.0854167112166,404.80110799457844,620.9602151403797,2040.859712401103,1872.4946989839846,182.08127339539993,238.11580311130484,1223.095737198251,1941.0713231752095,2400.94681263617,213.27617547215885,447.6948624962919,1447.907879461639,1859.779711538491,2858.1979365779357,265.38078759998467,417.11714871698837,895.6427476071749,439.6843517685227,1935.0619558115093,129.87711447982386,229.988221902462,125.33270037672446,207.03979373728214,0.0,152.57013274997925,289.90364984044174,335.9701414023648,1282.0174447230695,101.65152987616798,215.0356527063038
