name,opn_score
YBR027C,
YPK3,0.27382897070873113
CDS1,-1.1483948254046483
RKM3,-0.7522848645290843
RPL4A,-1.306082864118932
YBR032W,
EDS1,
HMT1,-0.2184801915341641
PDX3,-0.21260947995526003
CSG2,0.5333771584249973
SCO1,-0.657817490150137
CHS2,1.681124608880653
ATP3,-0.8762057919208424
FIG1,
FAT1,-0.717622401292215
CST26,-0.3191125960773409
QDR3,-0.4168895776810091
TCM62,0.5607138125854032
GIP1,-0.2441927351427129
ZTA1,-0.234408490222636
FMP23,-0.25410145760739766
RPS11B,0.4230310261667132
REB1,0.5899959615652648
REG2,0.11893716235470286
YBR051W,
RFS1,0.04996166095806931
YBR053C,-0.1230426495324366
YRO2,-0.13529090093208485
PRP6,-0.5724798764899672
YBR056W,0.9371451550291852
MUM2,0.40614174716496887
UBP14,-0.4281952699725604
AKL1,-0.0794672968834158
ORC2,-0.4142530222192473
TRM7,-0.6269557770386847
YBR062C,-0.9947814568559217
YBR063C,-0.1163872494663094
YBR064W,
ECM2,-0.22981731156810348
NRG2,-0.41971616428159475
TIP1,-0.43028674487863494
BAP2,0.35003829297451894
TAT1,0.2871120549526536
ALG14,-0.6436376635869827
YBR071W,0.7429414391309743
HSP26,-0.4420473731668908
RDH54,-0.9419391672632891
PFF1,-0.2757668127113595
[],
ECM8,
SLM4,0.5429146132450828
ECM33,0.6607275445862104
RPG1,-1.1395614588991503
SEC18,-0.5730158061958042
SPT7,0.20775131057781504
UBC4,-0.6428734447120581
TEC1,0.36165207464322346
MIS1,-1.0711910220270973
AAC3,1.5235716972923337
IST2,-1.049486295601353
RFC5,-0.39697810612646034
POL30,0.18999849865823126
YBR089W,
YBR090C,
TIM12,-1.595356393036739
PHO3,0.4440292498947853
PHO5,-0.34877466612660957
PBY1,-0.6324553830780575
RXT2,0.24777490303959482
YBR096W,-1.0700694428560498
VPS15,-0.6176959611488604
MMS4,-0.15097660957605274
YBR099C,-1.3444983825384478
