,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SME1,373.784769,0.047605148,0.150988273,0.315290365,0.7525412,0.799350643
MTR10,895.3436588,0.241249675,0.134488291,1.793834044,0.072839661,0.203115992
PNS1,274.839055,-0.777068662,0.157421294,-4.936236018,7.96e-07,4.35e-05
YOR161W-A,9.764749453,0.613815379,0.526378818,1.166109574,0.243570146,0.359494243
YOR161W-B,17.5260221,0.708815425,0.429542919,1.650162055,0.098909795,0.231070918
YOR161C-C,7.70571174,0.287688773,0.542924369,0.529887384,0.596190014,0.667055275
YRR1,1728.499351,0.256597067,0.121366914,2.114225858,0.034495981,0.151400482
DDP1,293.7828215,0.146035748,0.175902174,0.830210022,0.40642005,0.502298392
GET4,511.9028725,0.230244026,0.150563149,1.529218992,0.126210164,0.256596308
SEY1,1045.775864,0.223238644,0.158420586,1.409151742,0.158790304,0.288851681
SWT1,390.5888528,0.23733576,0.153928969,1.541852467,0.123109449,0.25488726
RPS28A,1475.678004,0.005478985,0.164793283,0.033247625,0.97347712,0.981958363
GLN4,2714.030966,0.142430236,0.145322618,0.980096821,0.327038328,0.430865927
YOR169C,6.088409452,-1.263804705,0.774541956,-1.631680111,0.102746892,
YOR170W,0.300802367,1.120085693,3.053931996,0.366768381,0.713791795,
LCB4,1237.529203,0.284599139,0.139479242,2.040440825,0.041306439,0.162558108
DCS2,126.2065693,0.212148518,0.208684629,1.016598675,0.309344385,0.416657665
MED4,415.9513264,0.202834249,0.143179388,1.41664419,0.156586982,0.286498748
ALE1,791.4827971,0.251332568,0.141479664,1.776457209,0.075657589,0.206249612
HEM15,579.6810346,0.331983114,0.137365785,2.416781699,0.015658405,0.102425769
MPC54,65.75114423,0.653742789,0.204711573,3.193482321,0.001405679,0.024733977
GAC1,59.82426809,0.573176259,0.214807312,2.66832751,0.007622991,0.07083386
SYC1,156.9850606,0.176623746,0.165365856,1.068078683,0.285485021,0.396609739
DCI1,82.41735841,0.345843801,0.200720641,1.723010646,0.0848866,0.217153368
LAS17,210.1312132,0.105733854,0.16787288,0.629844759,0.528796158,0.607501679
RPS30B,948.0324454,-0.073225587,0.161873743,-0.452362354,0.651007963,0.713495853
FYV12,1.090012155,-1.949214434,1.722379752,-1.131698414,0.257761249,
SER1,1194.846785,0.324643822,0.153144698,2.119850218,0.034018679,0.150331398
GSP2,161.3103122,0.337988097,0.171417205,1.971727972,0.048640669,0.173708101
YOR186W,3.977937118,0.245303632,0.837432238,0.29292356,0.76958058,
YOR186C-A,9.115469452,0.082866318,0.638926947,0.129696076,0.896806887,0.918219857
TUF1,2022.847887,0.219439613,0.149467117,1.468146417,0.142064455,0.272051317
MSB1,681.1254997,0.151706599,0.138864061,1.092482808,0.274620943,0.386962613
IES4,258.3781491,0.111620961,0.184126459,0.606219014,0.544369328,0.621078841
SPR1,17.66081567,0.553090113,0.412270675,1.341570349,0.179735346,0.303802303
ULS1,1262.417271,0.26939143,0.134813025,1.998259665,0.045688516,0.16917339
THI72,92.36384232,0.152314304,0.207249428,0.734932326,0.46238071,0.55008671
YOR192C-C,3.781495388,-1.043707342,1.132731163,-0.921407812,0.356837552,
PEX27,251.5207613,0.171690759,0.179483411,0.956582884,0.338777831,0.4407157
TOA1,781.0615012,0.219825055,0.148509242,1.480211281,0.138816871,0.268946073
SLK19,705.6719429,0.146039086,0.148883446,0.98089539,0.326644331,0.430444806
LIP5,1008.888374,0.283892644,0.162320333,1.748965389,0.080297002,0.211360107
MCA1,923.0320821,0.219951777,0.154437333,1.424213774,0.154384599,0.283914669
BFR1,2407.295896,0.166291007,0.139344551,1.193380048,0.232720565,0.350018018
YOR199W,0.388171256,1.17759238,2.723293198,0.432414836,0.665439938,
YOR200W,2.04839996,-1.282201985,1.608306173,-0.797237496,0.425313113,
MRM1,938.5898062,0.268946185,0.137831149,1.951272898,0.051024591,0.176369078
HIS3,1243.153548,0.167081052,0.152520243,1.095468046,0.273311637,0.3858086
YOR203W,5.214586352,0.330629838,0.812605564,0.406876169,0.68409894,
DED1,5394.16003,0.139494292,0.153235415,0.910326713,0.362650235,0.463167554
GEP3,505.3006886,0.159488319,0.140432575,1.135693188,0.256084993,0.370569585
NOC2,2298.414606,0.168364565,0.15361758,1.09599803,0.273079637,0.385575126
RET1,1735.864875,0.194498941,0.131358985,1.48066721,0.138695276,0.268800453
PTP2,563.5817014,0.169339802,0.123458273,1.371635926,0.170176804,0.296353765
NPT1,2096.279408,0.127051269,0.146292214,0.868475949,0.385133833,0.483526298
RPB10,430.4996145,0.178543639,0.166396182,1.073003215,0.283269673,0.394635662
MGM1,922.9010944,0.243938088,0.132724929,1.837922164,0.066073876,0.194195382
STE4,1633.156852,0.155435661,0.132529223,1.172840657,0.24085971,0.356996403
SAS5,385.9986043,0.265479825,0.162852695,1.630183803,0.103062656,0.235615747
SPR2,7.374046607,1.432384603,0.68803904,2.081836232,0.037357431,0.156259012
AIM41,580.5381884,0.264671096,0.156359009,1.692714079,0.090509904,0.222374314
RUD3,743.815964,0.274619968,0.164107263,1.673417511,0.094245133,0.226196134
RFC1,1142.233587,0.180079019,0.152933825,1.177496341,0.238997457,0.355487225
YOR218C,1.72782394,0.668164058,1.144834871,0.583633566,0.559466872,
STE13,789.9917061,0.292885896,0.149784362,1.955383676,0.050537801,0.175748275
RCN2,492.1170988,0.010699714,0.135262814,0.079103148,0.93695058,0.951413244
MCT1,711.053669,0.269069078,0.133119184,2.021264469,0.043252395,0.165054789
ODC2,767.3393622,0.039250074,0.155636681,0.252190379,0.800893914,0.83899537
DSC3,290.0861163,0.259870834,0.172520296,1.506320361,0.131984954,0.261523373
RPB8,846.0794631,0.15687392,0.165545452,0.947618422,0.343323744,0.444531683
YOR225W,2.750777288,0.612646351,1.252045207,0.489316478,0.624617657,
ISU2,1171.08881,-0.360921628,0.152576203,-2.365517171,0.018004908,0.110566409
HER1,1146.523537,0.226077644,0.128851295,1.754562459,0.079334178,0.210768955
MCP1,198.0930206,0.409091041,0.171617314,2.383739916,0.01713771,0.107837174
WTM2,356.9374207,0.829067001,0.154178218,5.377328976,7.56e-08,5.09e-06
WTM1,1218.95161,-0.166698562,0.134885029,-1.235856663,0.216511848,0.335578873
MKK1,492.7528582,0.333278289,0.143242224,2.326676305,0.0199825,0.116143265
YOR231C-A,1.527785179,1.260980357,1.495211266,0.843345944,0.399034995,
MGE1,1002.992093,0.12878041,0.145359984,0.885941278,0.375649171,0.476155311
KIN4,555.9471717,0.214831115,0.139509454,1.539903633,0.123583845,0.255423792
RPL33B,1331.677295,-0.047939281,0.14401489,-0.33287725,0.739226943,0.789554386
IRC13,785.8201196,-0.074744483,0.163327041,-0.457636913,0.647213319,0.710547678
DFR1,215.9129565,0.339591512,0.17818304,1.905857657,0.056668676,0.182863343
HES1,16.29342201,0.679364443,0.441528067,1.538666494,0.123885736,0.255472828
YOR238W,334.7524062,0.437756738,0.173797436,2.518775588,0.011776369,0.087409697
MET7,981.3307503,0.262651193,0.127391504,2.061763811,0.039230228,0.159678475
SSP2,14.47965625,0.707322117,0.443341484,1.595434091,0.110615198,0.243657844
PUS7,1291.234023,0.189637444,0.146672215,1.292933661,0.196034004,0.317882591
ESA1,634.8889861,0.216428325,0.123642073,1.750442388,0.080042007,0.211031988
DGA1,496.9360719,0.260987008,0.137731626,1.894895281,0.058106277,0.184772171
ENV9,877.131766,0.131623016,0.163710299,0.803999608,0.421397201,0.515525866
SRL1,864.3922267,-0.478152849,0.165121268,-2.895767787,0.003782322,0.047789624
YOR248W,8.538944284,-1.234088223,0.569653024,-2.166385801,0.030281718,0.140728112
APC5,342.3915824,0.406225012,0.150235061,2.703929488,0.006852483,0.066432088
CLP1,460.5316649,0.202524436,0.133970372,1.511710636,0.130607492,0.260472881
TUM1,286.3339084,0.202922612,0.16945588,1.197495255,0.231113576,0.348597314
TMA16,328.0487736,0.11210827,0.16379892,0.684426181,0.493706088,0.576455132
NAT5,242.0939993,-0.004500147,0.164279647,-0.027393209,0.978146114,0.985294563
SEC63,2408.22623,0.375931921,0.143141114,2.62630288,0.008631797,0.075368739
OSW1,2.835913689,0.819327567,0.989507385,0.828015616,0.407661656,
TRE2,1079.333943,0.374331689,0.1458699,2.56620241,0.010281881,0.082993688
CDC31,506.9987983,0.243000076,0.165594072,1.467444295,0.142255232,0.272136228
HNT3,132.4563436,0.470039,0.19895884,2.362493674,0.018152451,0.110615306
RPT4,2339.934024,0.238052475,0.146121523,1.62914039,0.103283303,0.235791152
GCD1,1673.471897,0.233637746,0.136215493,1.715206842,0.086307311,0.218030626
RPN8,1627.193666,0.204215933,0.145887501,1.399817891,0.161567859,0.289661299
GPN2,373.5999863,0.401138974,0.185174033,2.166280922,0.030289727,0.140728112
YOR263C,0.50312494,1.177593374,2.393439644,0.492008803,0.622713121,
DSE3,738.2045344,-0.524965042,0.130403168,-4.02570773,5.68e-05,0.002055247
RBL2,243.4162337,0.274062426,0.181718605,1.508169322,0.131511197,0.26135198
PNT1,426.265761,0.297824596,0.156439158,1.903772685,0.056939795,0.18321685
HRK1,1252.986375,0.183676315,0.141932872,1.294106945,0.195628483,0.317614319
YOR268C,1.111638268,-0.654142519,1.600105548,-0.408812106,0.682677555,
PAC1,297.3201932,0.231650261,0.155245902,1.492150569,0.135659678,0.265136352
VPH1,3331.225862,0.1702227,0.143780826,1.183904035,0.236451053,0.352878356
FSF1,672.006527,0.168871341,0.135856189,1.243015448,0.213862141,0.333463681
[],1105.378802,0.205794077,0.143956866,1.429553749,0.152845138,0.282329452
TPO4,718.3313964,-0.023447206,0.123748575,-0.189474549,0.849720901,0.880442866
MOD5,518.226732,0.302826619,0.161310376,1.877291633,0.060478134,0.187055525
RIM20,671.9058476,0.214396092,0.144045451,1.48839196,0.136647556,0.266347711
CAF20,668.2916762,0.047185582,0.151396778,0.311668338,0.755292593,0.801390913
YOR277C,20.84432574,0.568185073,0.337932438,1.681357009,0.092693591,0.22433244
HEM4,175.6531935,0.205207309,0.180121965,1.13926866,0.254591116,0.369043419
RFM1,325.5997344,0.259237793,0.157434104,1.64664317,0.099631412,0.231806634
FSH3,190.4148728,0.168991474,0.165780454,1.019369111,0.308027765,0.415367512
PLP2,682.9441743,0.254366998,0.148205982,1.71630723,0.086105826,0.217940138
YOR282W,0.829715648,-0.634572702,1.966050135,-0.32276527,0.746873017,
YOR283W,861.4358599,0.31630688,0.139445367,2.268321189,0.023309637,0.124368194
HUA2,136.2004372,0.088058655,0.172554189,0.510324644,0.609824041,0.679028923
RDL1,720.2033233,0.436304046,0.161555073,2.700652095,0.006920369,0.066437835
RDL2,546.6798489,0.200588563,0.164057738,1.222670543,0.221454157,0.340103242
RRP36,336.3617602,0.37734819,0.169147469,2.230882867,0.025688889,0.129766996
MPD1,333.8014154,0.531588732,0.155880843,3.410224897,0.000649093,0.014229077
YOR289W,185.4064866,0.549852945,0.171446363,3.207142659,0.001340605,0.023971594
SNF2,892.5972778,0.123659945,0.132176155,0.935569243,0.349495017,0.45036883
YPK9,865.2820484,0.377812184,0.139745345,2.703576171,0.006859772,0.066432088
YOR292C,328.609978,0.261467336,0.147300228,1.775064025,0.075887316,0.206249612
RPS10A,1942.454255,-0.030594102,0.163203492,-0.18745985,0.851300101,0.88192131
YOR293C-A,2.670723233,0.766700272,1.118842387,0.68526209,0.49317855,
RRS1,793.8508118,0.133814806,0.16570997,0.807524169,0.419364556,0.514016814
UAF30,224.0259323,0.162057272,0.168673972,0.960772248,0.336666695,0.438856901
YOR296W,546.1605839,0.184122793,0.147390061,1.249221229,0.211584169,0.331537697
TIM18,292.1469632,0.173038076,0.168474376,1.027088388,0.304378846,0.412043712
MUM3,34.94253293,0.68815174,0.321649464,2.139446252,0.032399544,0.146577175
MBF1,4557.102257,-0.231846399,0.14789456,-1.567646571,0.116963637,0.248569198
BUD7,1038.072626,0.188280998,0.138541186,1.359025452,0.174138524,0.300294285
YOR300W,3.756189108,-0.153348837,0.90312849,-0.169797364,0.8651695,
RAX1,581.9754917,0.220727026,0.134759278,1.63793565,0.101435118,0.233761107
YOR302W,268.1775236,-0.424687942,0.183687111,-2.312018185,0.020776681,0.117870975
CPA1,1597.650455,-0.337282098,0.146181815,-2.307278084,0.021039322,0.11854005
ISW2,1298.851967,0.303662116,0.143755747,2.112347659,0.034656641,0.151740402
BIL1,100.5993726,-0.094281332,0.217730434,-0.433018618,0.665001244,0.725782322
RRG7,372.9413694,0.230950699,0.148169526,1.558692303,0.119069224,0.250544513
MCH5,874.1169944,-0.411448535,0.149052849,-2.76042046,0.005772701,0.062463865
SLY41,736.8031698,0.262027183,0.13725675,1.909029493,0.056258287,0.182298445
SNU66,456.1083373,0.356414848,0.152513338,2.336942156,0.019442192,0.114613899
YOR309C,13.29537761,-1.166366692,0.688641303,-1.693721663,0.090318186,0.222285758
NOP58,3171.864042,0.110888861,0.156382024,0.709089558,0.478268902,0.563316109
DGK1,870.8888407,0.195574554,0.145300049,1.346004733,0.17830099,0.302720745
RPL20B,2519.746993,-0.012728246,0.152613385,-0.083401901,0.933531977,0.948274542
SPS4,27.21750428,0.246796012,0.421624987,0.585344843,0.558315868,0.633867535
YOR314W,0.089474989,1.177575505,6.006310083,0.196056396,0.844566025,
YOR314W-A,0.798935855,0.550565181,1.599966339,0.344110477,0.730763204,
SFG1,498.0200806,-0.528636169,0.177765316,-2.973786915,0.002941493,0.039759148
COT1,995.7170968,0.381267112,0.143399043,2.658784217,0.007842317,0.071720655
YOR316C-A,9.335504249,-0.608898406,0.550481335,-1.106119985,0.26867459,0.381682749
FAA1,2610.384548,-0.033131608,0.125122709,-0.264792925,0.791168988,0.830175325
YOR318C,15.14730687,0.1070147,0.401780353,0.266351252,0.789968705,0.829066141
HSH49,222.8336821,0.040925953,0.149468735,0.273809454,0.784231058,0.824239941
GNT1,611.1150877,0.166504089,0.13275953,1.254178054,0.209777295,0.329910557
LDB19,950.3155742,0.169993295,0.127983886,1.328239832,0.18409889,0.30741145
PRO2,1370.949612,0.259642649,0.153280257,1.693907969,0.090282772,0.222285758
FRT1,635.0232895,0.21032757,0.131376713,1.600950163,0.109387958,0.242321568
YOR325W,1.358263432,1.177594566,1.924808555,0.611798281,0.540671227,
MYO2,2221.116052,0.213863168,0.141448343,1.511952447,0.13054596,0.260472881
SNC2,639.6046888,0.236499091,0.152397851,1.551853186,0.120697356,0.252244403
PDR10,261.2199646,0.635413948,0.152439729,4.168296239,3.07e-05,0.001208542
SCD5,852.7928646,0.341535504,0.133010805,2.567727523,0.010236759,0.082881952
YOR329W-A,1.308454169,2.115407211,1.820144461,1.162219404,0.245146355,
MIP1,972.1595603,0.307165691,0.135620022,2.26489928,0.023518861,0.124794396
YOR331C,3.610567546,1.674556337,0.921558457,1.817091823,0.069203055,
VMA4,1496.334826,0.316741621,0.153228747,2.06711617,0.038723209,0.158423078
YOR333C,4.595387689,0.074541771,0.839973528,0.088743001,0.929286158,
MRS2,334.8205652,0.618814603,0.150831755,4.102681174,4.08e-05,0.001555374
ALA1,3849.115564,0.19271574,0.149233234,1.291372802,0.196574437,0.318046232
YOR335W-A,0.258505999,0.0,3.670979048,0.0,1.0,
KRE5,752.8057328,0.246327402,0.145289226,1.69542787,0.089994283,0.222171281
TEA1,818.1180169,0.232555551,0.139099922,1.671859677,0.094551996,0.226463179
YOR338W,420.4919933,-0.061629672,0.161816063,-0.380862507,0.703305275,0.759894445
UBC11,35.16833616,0.912555686,0.305694238,2.985190994,0.002834013,0.038969363
RPA43,778.0864055,0.126686872,0.159659667,0.793480752,0.427497779,0.51991274
RPA190,4032.616441,0.163429993,0.149809975,1.090915291,0.275310158,0.387401678
YOR342C,1139.330237,0.357882461,0.144496426,2.476756489,0.013258232,0.092921792
YOR343C,22.42132565,0.976592753,0.39312724,2.484164546,0.012985579,0.091899165
TYE7,1721.478052,-0.404404491,0.132552386,-3.050903145,0.002281542,0.033937009
YOR345C,0.834110802,0.215799569,2.118162123,0.101880572,0.918851471,
REV1,678.291146,0.217196979,0.137872143,1.575350716,0.115175514,0.24710074
PYK2,530.6990587,0.399818476,0.13405285,2.98254364,0.002858639,0.03911333
PUT4,403.6440334,-1.745385244,0.250151026,-6.977325951,3.01e-12,4.05e-10
CIN1,272.1616519,0.297570801,0.146134113,2.036285673,0.041721678,0.163287095
MNE1,438.6082845,0.192007339,0.130464044,1.471726105,0.141094855,0.271271377
MEK1,5.410608729,0.186448234,0.814725953,0.22884779,0.818987221,
TFB6,250.5137321,0.168486045,0.1767153,0.953432129,0.340371169,0.441962129
SOG2,705.9809476,0.297107662,0.146432584,2.028972329,0.042461109,0.16409036
MSC6,837.000424,0.178664128,0.132791843,1.345445057,0.178481553,0.302720745
GDS1,929.3203629,-0.021415904,0.123196105,-0.173835882,0.861994444,0.890346304
CIR2,1118.283501,0.42054123,0.15285488,2.75124504,0.005936922,0.062946591
SNX3,282.1980896,0.100318893,0.175592807,0.571315505,0.567785794,0.642225862
HAP5,207.0566452,0.306540579,0.185233293,1.654889217,0.097946972,0.231057466
VTS1,522.5928671,0.25328814,0.144339861,1.754803823,0.079292869,0.210755933
PDE2,1359.459711,0.220008189,0.11371549,1.934724901,0.053024063,0.17908769
PRT1,3566.865452,0.202284373,0.142034152,1.424195308,0.154389943,0.283914669
PRE10,1527.007112,0.197031077,0.148893373,1.323303198,0.185734569,0.308704398
PIP2,502.2419632,0.221875763,0.137805805,1.610061072,0.107384524,0.239741231
YOR364W,18.83032481,1.023789298,0.393074761,2.604566354,0.009199061,0.07819877
YOR365C,10.71465639,0.367587247,0.462597299,0.794616069,0.426836868,0.519499969
YOR366W,8.531111116,0.326226265,0.589929403,0.552992042,0.58026886,0.653917934
SCP1,203.2356006,0.226261302,0.191255867,1.183029338,0.23679752,0.353304342
RAD17,319.9517494,0.275558849,0.164228907,1.677894924,0.093367614,0.225210465
RPS12,3492.377796,-0.101835692,0.187687791,-0.542580269,0.587418827,0.659951346
MRS6,2102.498387,0.086204561,0.129555407,0.665387596,0.505802616,0.587009219
GPB1,692.4183924,0.31771742,0.12805365,2.481127398,0.013096755,0.092370432
NDD1,586.7510722,-0.037203642,0.151625031,-0.245366098,0.806172976,0.843168087
NUD1,365.9658776,0.003187717,0.143041935,0.022285192,0.982220461,0.988710528
ALD4,1125.332787,-0.466225578,0.12795913,-3.643550693,0.000268903,0.007308345
GDH1,2997.662589,-0.07466597,0.145601633,-0.512809978,0.608084249,0.677608267
YOR376W,0.372337372,1.005453881,2.717679551,0.369967784,0.711406495,
YOR376W-A,69.94147511,0.404729797,0.224021854,1.80665319,0.070816371,0.20012935
ATF1,305.4223372,0.313160589,0.157384948,1.989774709,0.046615759,0.170365295
AMF1,48.25967937,0.282870067,0.274100353,1.031994537,0.302074677,0.410409729
YOR379C,25.30716671,0.353405268,0.355398791,0.994390743,0.320032673,0.425411973
RDR1,227.6192352,0.053784766,0.171968862,0.312758748,0.754463958,0.800805254
FRE3,185.7521835,0.226181677,0.2032867,1.112624077,0.265869915,0.379130624
YOR381W-A,7.467395877,0.130301715,0.631955845,0.206188006,0.836644057,0.868046556
FIT2,116.8440025,0.639799375,0.18101786,3.534454421,0.000408618,0.010065911
FIT3,84.0120631,0.244692501,0.240679716,1.016672718,0.309309148,0.416657665
FRE5,69.56457007,0.893041904,0.247194745,3.612705867,0.000303018,0.007973515
YOR385W,406.7929563,0.141993221,0.157181151,0.903373078,0.366327923,0.467108447
PHR1,464.8526528,0.238552878,0.140921636,1.692805204,0.090492552,0.222374314
YOR387C,2.091316673,0.245048171,1.132236371,0.216428457,0.828653786,
FDH1,2.239596323,-1.245445027,1.099943923,-1.132280474,0.257516537,
YOR389W,145.549345,0.20733562,0.181079736,1.144996257,0.252210708,0.366829417
FEX1,71.9614533,0.336063718,0.21251216,1.581385831,0.113789845,0.246438239
HSP33,4.343904957,0.080983906,0.666169189,0.121566574,0.903242287,
YOR392W,0.788127354,0.220636868,1.567707696,0.140738524,0.88807651,
ERR1,0.045453714,-0.745983184,6.006310083,-0.124199912,0.901156992,
PAU21,0.0,,,,,
YOR394C-A,0.29433567,0.215799021,3.092513424,0.069781111,0.944367882,
YRF1-8,1.627632269,-1.374679884,1.280358596,-1.073667868,0.282971568,
YOR396C-A,0.0,,,,,
RVS161,1019.771611,0.217227105,0.150702655,1.441428517,0.149463659,0.278917151
TUP1,1138.888351,0.110050822,0.145614301,0.755769326,0.449787511,0.540211598
YCL076W,0.05575898,0.0,6.006310083,0.0,1.0,
GEX1,0.110840841,1.177579483,5.414816736,0.217473562,0.827839308,
VBA3,0.0,,,,,
YCL068C,25.76066246,0.221841518,0.331902527,0.668393579,0.503882393,0.585385345
HMLALPHA2,0.058973769,-0.745983184,6.006310083,-0.124199912,0.901156992,
HMLALPHA1,0.0,,,,,
YCL065W,0.0,,,,,
CHA1,202.4439475,0.323431146,0.231247555,1.398635958,0.161922178,0.289760953
VAC17,465.2720743,0.122794194,0.138863584,0.88427931,0.376545455,0.476672127
MRC1,674.6352674,0.312555446,0.145746481,2.144514535,0.031991682,0.145769199
KRR1,698.9257614,0.206416941,0.165207654,1.249439328,0.211504432,0.331537697
FYV5,21.44424336,0.057134135,0.391930248,0.145776284,0.884097999,0.908259683
ADF1,174.7517691,0.301450006,0.197300216,1.527874684,0.126543655,0.256596308
MIC10,186.8835542,0.285340581,0.196035481,1.4555558,0.145515454,0.275020883
PRD1,1417.12721,0.22530581,0.143788456,1.566925586,0.117132086,0.24872346
PEX34,175.7486764,0.135647122,0.1829196,0.741566905,0.458349782,0.546523104
KAR4,604.1850944,0.009103821,0.147662846,0.061652755,0.950839365,0.963031381
SPB1,1885.173732,0.22429674,0.155802228,1.439624723,0.149973601,0.279473703
PBN1,987.8159547,0.275690429,0.148877888,1.851788966,0.064056133,0.191638735
LRE1,557.4576833,0.281188644,0.127649348,2.202820833,0.027607379,0.133739848
APA1,1878.439918,0.340593451,0.137766116,2.472258509,0.013426239,0.093192655
YCL049C,328.312018,0.257311185,0.166212241,1.548088053,0.121601098,0.253559655
YCL048W-A,3.361274917,-0.142149009,0.855097382,-0.166237217,0.867970272,
SPS22,22.78742252,0.575812526,0.38629054,1.490620315,0.136061208,0.26547298
POF1,419.2496312,0.212006215,0.147960493,1.43285691,0.151898734,0.281313544
EMC1,1460.822013,0.235151203,0.141818375,1.658115199,0.097294217,0.230353262
YCL046W,0.563041159,1.109380168,2.16336749,0.512802459,0.60808951,
MGR1,507.6695715,0.393111017,0.136119486,2.887984885,0.003877185,0.047985927
PDI1,3820.747652,0.080639409,0.144673635,0.557388426,0.577262072,0.651290223
YCL041C,1.50446628,-0.26118707,1.43790553,-0.18164411,0.85586203,
YCL042W,7.399036687,1.245791338,0.757768141,1.644027072,0.100170611,0.232140778
GLK1,1555.679239,-0.401165975,0.13860827,-2.894242702,0.003800743,0.04783152
GID7,470.7394019,0.552107952,0.141137898,3.911833453,9.16e-05,0.003030064
ATG22,251.4849193,0.355485444,0.160073347,2.220765988,0.026366815,0.131584047
SRO9,2117.694268,0.270667527,0.145356356,1.862096259,0.062589523,0.189701963
GFD2,385.9980226,0.039378602,0.21246592,0.185340794,0.852961743,0.882694947
GRX1,511.9027771,0.128771221,0.174075612,0.739743028,0.459455934,0.547507288
LSB5,663.9778592,0.231856932,0.158865372,1.459455445,0.144439795,0.273792395
MXR2,137.3137536,0.441144328,0.269524749,1.636748868,0.101682954,0.234072497
STE50,505.4908149,0.221312404,0.145095523,1.525287606,0.127187378,0.25672515
RRP7,1542.616905,0.183137041,0.135406104,1.35250211,0.176214744,0.301945989
HIS4,3603.698006,-0.085712413,0.156660514,-0.547121998,0.58429492,0.657431155
BIK1,490.0178745,0.302476623,0.146681241,2.062135701,0.039194818,0.159678475
RNQ1,631.3512014,0.115869738,0.146168441,0.792713783,0.427944598,0.519980862
FUS1,484.9041175,0.073972347,0.168244896,0.439670672,0.660175647,0.721245276
HBN1,498.498251,-0.858132662,0.160431986,-5.348887626,8.85e-08,5.76e-06
FRM2,567.0870662,-0.755121285,0.236199263,-3.196967157,0.001388807,0.024586563
AGP1,2064.859241,-0.415177638,0.136464445,-3.042386884,0.0023471,0.034311522
YCL023C,0.698890302,2.345693792,2.055343761,1.141265922,0.253759279,
KCC4,560.1394991,0.526836668,0.157528216,3.344395573,0.000824621,0.01698836
YCL022C,1.093740229,0.215799626,1.989517914,0.1084683,0.913624225,
YCL021W-A,29.94592831,0.543881249,0.323244231,1.682570631,0.092458241,0.224210132
YCL019W,214.1793218,-0.852431743,0.273301406,-3.119017044,0.001814555,0.029017837
YCL020W,0.0,,,,,
LEU2,29.48769638,-0.3416658,0.534394948,-0.639350731,0.522594793,0.602649653
NFS1,1417.168394,0.261150062,0.137736912,1.896006371,0.057959202,0.184772171
DCC1,317.2837054,0.20309468,0.150725377,1.347448477,0.177835837,0.302613656
BUD3,814.4883745,0.14816192,0.150127177,0.98690939,0.323687061,0.428009227
YCL012C,138.9304216,0.127873087,0.193475432,0.660926742,0.508659296,0.589161397
GBP2,1366.933082,0.276366588,0.154085888,1.79358793,0.072878964,0.203127744
SGF29,452.6025261,0.177988339,0.14114124,1.261065436,0.207285272,0.327360098
ILV6,784.8394921,0.419212185,0.234712043,1.786070197,0.074087893,0.204820827
STP22,428.8720458,0.361639613,0.152512491,2.371213076,0.017729807,0.109538795
YCL007C,6.522407105,1.279042789,0.693246664,1.845003886,0.065036973,
VMA9,292.5291216,0.174741168,0.156114326,1.119315392,0.263005611,0.376493443
LDB16,363.3961024,0.113480239,0.150377396,0.754636285,0.450467246,0.540467334
PGS1,299.5667893,0.350674794,0.14071586,2.492077253,0.012699841,0.091001181
YCL002C,269.9679989,0.118453472,0.150252664,0.788361871,0.430485067,0.521735732
RER1,508.9844329,0.157849831,0.154198554,1.023679061,0.305986889,0.413289337
YCL001W-A,17.30019277,-0.603502078,0.444315303,-1.358274346,0.174376647,0.300508627
YCL001W-B,12.36123089,-0.003477868,0.479747297,-0.007249376,0.994215886,0.997835604
YCR001W,0.304631837,0.991682406,3.228391828,0.307175355,0.758709903,
CDC10,1138.122576,0.149394689,0.149508632,0.999237889,0.317679466,0.422989635
MRPL32,467.2982702,0.17467269,0.163288335,1.069719345,0.284745656,0.39605781
YCP4,1140.53395,0.129289729,0.134303085,0.96267133,0.335712489,0.438159246
CIT2,2647.960536,-0.270686125,0.115709583,-2.339357886,0.019316919,0.114428849
YCR006C,44.08415236,-0.184012225,0.254172317,-0.723966428,0.469086346,0.555272688
YCR007C,69.73414997,0.458985652,0.266742396,1.720707541,0.085303907,0.217459621
SAT4,1237.255534,0.258161218,0.125103785,2.063576393,0.039057898,0.15934191
ADY2,7.218641099,0.113844043,0.610496839,0.186477694,0.85207017,0.882087663
ADP1,1402.574278,0.128265739,0.140357477,0.913850419,0.360795449,0.461273157
PGK1,13652.04345,-1.370854343,0.159171367,-8.61244309,7.15e-18,2.18e-15
YCR013C,3.712794349,-0.368347081,0.938202042,-0.39260955,0.694607885,
POL4,230.4759771,0.294607216,0.175005703,1.683414944,0.092294792,0.224022873
CTO1,291.7808891,0.212334516,0.151647323,1.400186377,0.161457514,0.289661299
YCR016W,575.1970164,0.146734092,0.143511896,1.022452466,0.306566799,0.41378298
CWH43,1535.495827,0.359546303,0.139247413,2.582068105,0.00982102,0.080998935
SRD1,271.7579198,-1.160349107,0.179722429,-6.456339991,1.07e-10,1.11e-08
YCR018C-A,6.678205252,-0.003701111,0.56993316,-0.006493938,0.994818623,
MAK32,378.2708109,0.174514474,0.128784619,1.355087863,0.175389565,0.30123636
PET18,46.71677043,0.131722485,0.291328739,0.452143808,0.651165386,0.713533299
MAK31,100.3731271,0.211114942,0.205430756,1.027669597,0.304105274,0.411997527
HTL1,142.250724,0.160712085,0.191737629,0.838187504,0.401925404,0.498232583
