,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ECM25,618.2270315,0.234696141,0.14187345,1.654264002,0.098073884,0.231070918
ACO2,2170.286076,0.208830058,0.15650912,1.334299612,0.182105685,0.305840771
MBB1,39.39131098,0.300057442,0.304100145,0.986706016,0.32378678,0.428043313
PHO90,1246.469114,0.373458395,0.149142754,2.504033108,0.012278654,0.08931527
UBP12,1265.445147,0.221413643,0.134177247,1.650157891,0.098910647,0.231070918
YJL197C-A,0.018386838,0.0,6.006310083,0.0,1.0,
ELO1,806.911489,0.194976715,0.154461739,1.262297813,0.206841643,0.327249596
YJL195C,2.76485387,1.617465402,1.189701877,1.359555223,0.173970716,
CDC6,523.4583754,0.287730425,0.150672415,1.909642351,0.056179278,0.182298445
YJL193W,278.5366682,0.225482359,0.152885754,1.474842185,0.140254977,0.270105143
SOP4,651.2112506,0.098498392,0.158926751,0.61977226,0.535407734,0.613829414
RPS14B,865.6779287,-0.053763013,0.146094746,-0.368001005,0.712872484,0.768066036
RPS22A,2053.781964,-0.026675666,0.163328222,-0.163325518,0.870262144,0.896751077
RPL39,1441.056386,-0.137997463,0.159086463,-0.86743687,0.385702687,0.484030535
BUD19,2.399019631,0.498113045,1.152042456,0.432373861,0.665469713,
SWE1,665.9800518,0.100414061,0.148568968,0.675875064,0.499119971,0.581486318
MNN5,1372.054537,0.193086726,0.147653183,1.307704458,0.190973571,0.31361363
ATG36,97.11884206,0.305048013,0.192366488,1.585764838,0.112792665,0.245380209
GON7,170.6528433,0.270276446,0.190425534,1.419328809,0.155803177,0.285606267
MNN11,1023.583088,0.078968766,0.128341799,0.615300443,0.538356325,0.616293204
YJL182C,0.231566164,0.0,3.358700893,0.0,1.0,
RBH1,382.1492062,0.35105928,0.14439256,2.431283723,0.015045428,0.100546295
ATP12,473.5223421,0.173765376,0.14730129,1.179659565,0.238135642,0.354387463
PFD1,222.3040153,0.156431833,0.199294248,0.784928992,0.432495202,0.52346116
ATG27,558.7849651,0.239264611,0.150868986,1.585909851,0.112759761,0.245380209
