name,dependence
YBR277C,not_checked
DPB3,tail_independent
PAF1,tail_independent
SAF1,tail_independent
DUG2,tail_independent
MRPL27,tail_independent
SSH1,tail_independent
YBR284W,no_call
YBR285W,no_call
APE3,tail_independent
YBR287W,tail_independent
APM3,tail_independent
SNF5,tail_independent
BSD2,tail_independent
CTP1,no_call
YBR292C,not_checked
VBA2,tail_independent
SUL1,no_call
PCA1,tail_independent
PHO89,tail_dependent
MAL33,no_call
MAL31,tail_independent
MAL32,no_call
YBR300C,not_checked
PAU24,not_checked
COS2,no_call
RER1,tail_independent
YCL002C,tail_independent
PGS1,tail_independent
LDB16,tail_independent
YCL007C,not_checked
STP22,tail_independent
ILV6,tail_independent
SGF29,tail_independent
GBP2,tail_independent
BUD3,tail_independent
DCC1,tail_independent
NFS1,tail_independent
LEU2,no_call
YCL019W,not_checked
YCL020W,not_checked
YCL022C,not_checked
YCL023C,not_checked
KCC4,tail_independent
AGP1,tail_independent
FUS1,tail_independent
RNQ1,tail_independent
BIK1,tail_independent
HIS4,tail_independent
RRP7,tail_independent
STE50,tail_independent
MXR2,no_call
LSB5,tail_independent
GRX1,tail_independent
GFD2,no_call
SRO9,tail_independent
ATG22,tail_independent
GID7,tail_independent
GLK1,tail_dependent
YCL041C,not_checked
YCL042W,no_call
PDI1,tail_dependent
MGR1,tail_independent
EMC1,tail_independent
YCL046W,not_checked
POF1,no_call
SPS22,no_call
YCL049C,no_call
APA1,tail_independent
LRE1,tail_independent
PBN1,tail_independent
SPB1,tail_independent
KAR4,tail_independent
PEX34,tail_independent
PRD1,tail_independent
FYV5,no_call
KRR1,tail_independent
MRC1,tail_independent
VAC17,tail_independent
CHA1,tail_independent
YCL065W,not_checked
HMLALPHA1,not_checked
HMLALPHA2,not_checked
YCL068C,no_call
VBA3,not_checked
[],tail_independent
YCL074W,not_checked
YCL075W,not_checked
YCL076W,not_checked
YCR001W,not_checked
CDC10,tail_independent
MRPL32,tail_independent
YCP4,tail_independent
CIT2,tail_dependent
YCR006C,not_checked
YCR007C,not_checked
SAT4,tail_independent
RVS161,tail_independent
ADY2,no_call
